id,title,franquicia,revenue
862,Toy Story,Toy Story Collection,373554033.0
8844,Jumanji,Desconocida,262797249.0
15602,Grumpier Old Men,Grumpy Old Men Collection,0.0
31357,Waiting to Exhale,Desconocida,81452156.0
11862,Father of the Bride Part II,Father of the Bride Collection,76578911.0
949,Heat,Desconocida,187436818.0
11860,Sabrina,Desconocida,0.0
11860,Sabrina,Desconocida,0.0
45325,Tom and Huck,Desconocida,0.0
9091,Sudden Death,Desconocida,64350171.0
710,GoldenEye,James Bond Collection,352194034.0
710,GoldenEye,James Bond Collection,352194034.0
9087,The American President,Desconocida,107879496.0
12110,Dracula: Dead and Loving It,Desconocida,0.0
12110,Dracula: Dead and Loving It,Desconocida,0.0
21032,Balto,Balto Collection,11348324.0
10858,Nixon,Desconocida,13681765.0
1408,Cutthroat Island,Desconocida,10017322.0
1408,Cutthroat Island,Desconocida,10017322.0
1408,Cutthroat Island,Desconocida,10017322.0
1408,Cutthroat Island,Desconocida,10017322.0
524,Casino,Desconocida,116112375.0
524,Casino,Desconocida,116112375.0
4584,Sense and Sensibility,Desconocida,135000000.0
4584,Sense and Sensibility,Desconocida,135000000.0
5,Four Rooms,Desconocida,4300000.0
9273,Ace Ventura: When Nature Calls,Ace Ventura Collection,212385533.0
11517,Money Train,Desconocida,35431113.0
8012,Get Shorty,Chili Palmer Collection,115101622.0
1710,Copycat,Desconocida,0.0
9691,Assassins,Desconocida,30303072.0
9691,Assassins,Desconocida,30303072.0
12665,Powder,Desconocida,0.0
451,Leaving Las Vegas,Desconocida,49800000.0
16420,Othello,Desconocida,0.0
9263,Now and Then,Desconocida,27400000.0
17015,Persuasion,Desconocida,0.0
17015,Persuasion,Desconocida,0.0
902,The City of Lost Children,Desconocida,1738611.0
902,The City of Lost Children,Desconocida,1738611.0
902,The City of Lost Children,Desconocida,1738611.0
37557,Shanghai Triad,Desconocida,0.0
37557,Shanghai Triad,Desconocida,0.0
9909,Dangerous Minds,Desconocida,180000000.0
63,Twelve Monkeys,Desconocida,168840000.0
78802,Wings of Courage,Desconocida,0.0
78802,Wings of Courage,Desconocida,0.0
9598,Babe,Babe Collection,254134910.0
9598,Babe,Babe Collection,254134910.0
47018,Carrington,Desconocida,0.0
47018,Carrington,Desconocida,0.0
687,Dead Man Walking,Desconocida,39363635.0
687,Dead Man Walking,Desconocida,39363635.0
139405,Across the Sea of Time,Desconocida,0.0
33689,It Takes Two,Desconocida,0.0
9603,Clueless,Desconocida,0.0
34615,"Cry, the Beloved Country",Desconocida,676525.0
31174,Richard III,Desconocida,0.0
31174,Richard III,Desconocida,0.0
11443,Dead Presidents,Desconocida,0.0
35196,Restoration,Desconocida,0.0
9312,Mortal Kombat,Mortal Kombat Collection,122195920.0
577,To Die For,Desconocida,21284514.0
11861,How To Make An American Quilt,Desconocida,23574130.0
807,Se7en,Desconocida,327311859.0
10530,Pocahontas,Pocahontas Collection,346079773.0
8391,When Night Is Falling,Desconocida,0.0
629,The Usual Suspects,Desconocida,23341568.0
117164,Guardian Angel,Desconocida,0.0
11448,Mighty Aphrodite,Desconocida,6700000.0
49133,Lamerica,Desconocida,0.0
49133,Lamerica,Desconocida,0.0
49133,Lamerica,Desconocida,0.0
26441,The Big Green,Desconocida,0.0
97406,Georgia,Desconocida,0.0
97406,Georgia,Desconocida,0.0
124057,Kids of the Round Table,Desconocida,0.0
9089,Home for the Holidays,Desconocida,17519169.0
11010,The Postman,Desconocida,0.0
11010,The Postman,Desconocida,0.0
11010,The Postman,Desconocida,0.0
99040,The Confessional,Desconocida,0.0
11359,The Indian in the Cupboard,Desconocida,0.0
17182,Eye for an Eye,Desconocida,0.0
2054,Mr. Holland's Opus,Desconocida,106269971.0
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Desconocida,0.0
19760,Two If by Sea,Desconocida,0.0
9536,Bio-Dome,Desconocida,0.0
11525,Lawnmower Man 2: Beyond Cyberspace,The Lawnmower Man Collection,2409225.0
40628,Two Bits,Desconocida,0.0
4482,French Twist,Desconocida,0.0
10634,Friday,Friday Collection,28215918.0
755,From Dusk Till Dawn,From Dusk Till Dawn Collection,25836616.0
11859,Fair Game,Desconocida,11534477.0
28387,Kicking and Screaming,Desconocida,718490.0
48750,Les Miserables,Desconocida,0.0
20927,Bed of Roses,Desconocida,19030691.0
36929,Big Bully,Desconocida,2042530.0
9102,Screamers,Desconocida,5781885.0
9102,Screamers,Desconocida,5781885.0
9102,Screamers,Desconocida,5781885.0
124626,Nico Icon,Desconocida,0.0
124626,Nico Icon,Desconocida,0.0
27526,The Crossing Guard,Desconocida,0.0
9623,The Juror,Desconocida,0.0
46785,The White Balloon,Desconocida,0.0
400,Things to Do in Denver When You're Dead,Desconocida,529766.0
880,Antonia's Line,Desconocida,0.0
880,Antonia's Line,Desconocida,0.0
880,Antonia's Line,Desconocida,0.0
146599,Once Upon a Time... When We Were Colored,Desconocida,0.0
188588,Last Summer in the Hamptons,Desconocida,0.0
8447,Angels and Insects,Desconocida,0.0
8447,Angels and Insects,Desconocida,0.0
10534,White Squall,Desconocida,10300000.0
17414,Dunston Checks In,Desconocida,0.0
13997,Black Sheep,Desconocida,32.0
2086,Nick of Time,Desconocida,8175346.0
61548,The Journey of August King,Desconocida,0.0
9095,Mary Reilly,Desconocida,12379402.0
12158,Vampire in Brooklyn,Desconocida,19800000.0
9283,Beautiful Girls,Desconocida,0.0
9208,Broken Arrow,Desconocida,150270147.0
40154,A Midwinter's Tale,Desconocida,0.0
406,La Haine,Desconocida,0.0
45549,Shopping,Desconocida,0.0
63076,Heidi Fleiss: Hollywood Madam,Desconocida,0.0
63076,Heidi Fleiss: Hollywood Madam,Desconocida,0.0
63076,Heidi Fleiss: Hollywood Madam,Desconocida,0.0
63076,Heidi Fleiss: Hollywood Madam,Desconocida,0.0
11062,City Hall,Desconocida,0.0
13685,Bottle Rocket,Desconocida,560069.0
47475,Mr. Wrong,Desconocida,0.0
2045,Unforgettable,Desconocida,0.0
9614,Happy Gilmore,Desconocida,41205099.0
688,The Bridges of Madison County,Desconocida,182016617.0
11907,Nobody Loves Me,Desconocida,0.0
10874,Muppet Treasure Island,The Muppet Collection,34327391.0
89333,Catwalk,Desconocida,0.0
96357,Headless Body in Topless Bar,Desconocida,0.0
197,Braveheart,Desconocida,210000000.0
103,Taxi Driver,Desconocida,28262574.0
33542,Rumble in the Bronx,Desconocida,32392047.0
43566,Before and After,Desconocida,0.0
71754,Margaret's Museum,Desconocida,0.0
71754,Margaret's Museum,Desconocida,0.0
43612,Happiness Is in the Field,Desconocida,0.0
51352,Anne Frank Remembered,Desconocida,1.0
51352,Anne Frank Remembered,Desconocida,1.0
51352,Anne Frank Remembered,Desconocida,1.0
16934,The Young Poisoner's Handbook,Desconocida,0.0
16934,The Young Poisoner's Handbook,Desconocida,0.0
16934,The Young Poisoner's Handbook,Desconocida,0.0
10324,If Lucy Fell,Desconocida,0.0
78406,Steal Big Steal Little,Desconocida,6278139.0
55731,Race the Sun,Desconocida,0.0
32119,The Boys of St. Vincent,Desconocida,0.0
11066,Boomerang,Desconocida,70100000.0
11104,Chungking Express,Desconocida,0.0
37975,The Star Maker,Desconocida,0.0
2074,Flirting with Disaster,Desconocida,14702438.0
27793,The Neverending Story III: Escape from Fantasia,The Neverending Story Collection,0.0
27793,The Neverending Story III: Escape from Fantasia,The Neverending Story Collection,0.0
44284,The Silences of the Palace,Desconocida,0.0
44284,The Silences of the Palace,Desconocida,0.0
290157,Jupiter's Wife,Desconocida,0.0
110972,Pie in the Sky,Desconocida,0.0
32622,Angela,Desconocida,0.0
73067,Frankie Starlight,Desconocida,0.0
73067,Frankie Starlight,Desconocida,0.0
73067,Frankie Starlight,Desconocida,0.0
73067,Frankie Starlight,Desconocida,0.0
11863,Jade,Desconocida,9851610.0
55475,Nueba Yol,Desconocida,0.0
124636,Sonic Outlaws,Desconocida,0.0
9101,Down Periscope,Desconocida,0.0
123360,From the Journals of Jean Seberg,Desconocida,0.0
5757,Man of the Year,Desconocida,209935.0
39428,The Neon Bible,Desconocida,0.0
124639,Target,Desconocida,0.0
9302,Up Close & Personal,Desconocida,0.0
11000,The Birdcage,Desconocida,185260553.0
249882,Virgin Mary,Desconocida,0.0
249882,Virgin Mary,Desconocida,0.0
249882,Virgin Mary,Desconocida,0.0
16388,The Brothers McMullen,Desconocida,0.0
9737,Bad Boys,Bad Boys Collection,141407024.0
30765,The Amazing Panda Adventure,Desconocida,0.0
